episode_id	env_time	value
3a1b785a-99ab-4ea5-ad97-def07819ad94	0	-3.6
3a1b785a-99ab-4ea5-ad97-def07819ad94	1	-6.1
3a1b785a-99ab-4ea5-ad97-def07819ad94	2	-6.5
3a1b785a-99ab-4ea5-ad97-def07819ad94	3	-13.2
3a1b785a-99ab-4ea5-ad97-def07819ad94	4	-3.7
3a1b785a-99ab-4ea5-ad97-def07819ad94	5	0.19999999999999973
3a1b785a-99ab-4ea5-ad97-def07819ad94	6	0.10000000000000009
5309deb9-359f-42bf-87ff-1a6bfd2af46a	0	-3.6
5309deb9-359f-42bf-87ff-1a6bfd2af46a	1	-6.1
5309deb9-359f-42bf-87ff-1a6bfd2af46a	2	-6.5
5309deb9-359f-42bf-87ff-1a6bfd2af46a	3	-13.2
5309deb9-359f-42bf-87ff-1a6bfd2af46a	4	-3.7
5309deb9-359f-42bf-87ff-1a6bfd2af46a	5	0.19999999999999973
5309deb9-359f-42bf-87ff-1a6bfd2af46a	6	0.10000000000000009
2b0594e7-773b-4c3a-9eb6-98326146c078	0	-3.6
2b0594e7-773b-4c3a-9eb6-98326146c078	1	-6.1
2b0594e7-773b-4c3a-9eb6-98326146c078	2	-6.5
2b0594e7-773b-4c3a-9eb6-98326146c078	3	-13.2
2b0594e7-773b-4c3a-9eb6-98326146c078	4	-3.7
2b0594e7-773b-4c3a-9eb6-98326146c078	5	0.19999999999999973
2b0594e7-773b-4c3a-9eb6-98326146c078	6	0.10000000000000009
